what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678703192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678704878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678705892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678706672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678711617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678723551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678724487
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1421678734471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678737513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678744907
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1421678784158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678785843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678789868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678795812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678797949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678798995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678802801
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1421678808982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678810308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678815690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678816174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678837577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1421678839777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678843755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678845284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678846282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678854192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678856190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678883771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1421678886579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678890167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678891664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678892756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678895377
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1421678929653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678931900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678934676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1421678939585
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1421678942331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678944952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678949772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421678950428
